Ticker,Strategy,Win Rate (%)
AAPL,Iron Condor,0.0
AAPL,Vertical Call,53.33
ACMR,Vertical Call,37.5
ACN,Iron Condor,66.67
ACN,Vertical Call,40.0
AMD,Vertical Call,50.0
AMT,Iron Condor,100.0
AMT,Vertical Call,60.0
AMZN,Vertical Call,62.5
ANET,Vertical Call,60.0
ASML,Vertical Call,50.0
ATEN,Vertical Call,68.75
AVGO,Vertical Call,73.33
CAT,Vertical Call,53.33
CCI,Iron Condor,0.0
CCI,Vertical Call,46.67
CDW,Vertical Call,56.25
CHKP,Iron Condor,100.0
CHKP,Vertical Call,42.86
CIEN,Vertical Call,50.0
CMI,Vertical Call,56.25
COR,Iron Condor,66.67
COR,Vertical Call,100.0
CRM,Vertical Call,56.25
CSCO,Iron Condor,50.0
CSCO,Vertical Call,75.0
CTSH,Iron Condor,0.0
CTSH,Vertical Call,60.0
DBX,Vertical Call,40.0
DELL,Iron Condor,0.0
DELL,Vertical Call,56.25
DLR,Vertical Call,62.5
DOV,Iron Condor,100.0
DOV,Vertical Call,73.33
DXC,Vertical Call,56.25
ECL,Iron Condor,50.0
ECL,Vertical Call,58.33
ENS,Vertical Call,50.0
EQIX,Vertical Call,60.0
FFIV,Iron Condor,100.0
FFIV,Vertical Call,46.15
FTNT,Vertical Call,60.0
GDS,Vertical Call,37.5
GE,Vertical Call,73.33
GLW,Vertical Call,60.0
GNRC,Vertical Call,64.29
GOOG,Iron Condor,100.0
GOOG,Vertical Call,50.0
HPE,Vertical Call,46.67
IBM,Iron Condor,50.0
IBM,Vertical Call,50.0
IRM,Vertical Call,68.75
JNPR,Iron Condor,50.0
JNPR,Vertical Call,33.33
LDOS,Iron Condor,100.0
LDOS,Vertical Call,40.0
LOW,Iron Condor,0.0
LOW,Vertical Call,53.33
META,Vertical Call,37.5
MOD,Vertical Call,68.75
MPWR,Vertical Call,66.67
MSFT,Iron Condor,50.0
MSFT,Vertical Call,58.33
NICE,Vertical Call,40.0
NTAP,Vertical Call,60.0
NVDA,Vertical Call,80.0
NVT,Vertical Call,68.75
ORCL,Iron Condor,0.0
ORCL,Vertical Call,57.14
OTEX,Vertical Call,60.0
PANW,Vertical Call,53.33
QCOM,Vertical Call,56.25
RDWR,Vertical Call,53.33
SBAC,Iron Condor,100.0
SBAC,Vertical Call,50.0
SMCI,Vertical Call,60.0
SNX,Iron Condor,100.0
SNX,Vertical Call,28.57
STX,Vertical Call,56.25
TDC,Vertical Call,40.0
TT,Vertical Call,70.59
TTMI,Iron Condor,0.0
TTMI,Vertical Call,73.33
TXN,Vertical Call,31.25
VNET,Vertical Call,43.75
VRT,Vertical Call,66.67
WDC,Vertical Call,46.67
ZBH,Iron Condor,100.0
ZBH,Vertical Call,33.33
